CustomerID,Lookalikes
C0001,"[('C0133', 0.8935295400006209), ('C0083', 0.8897363066449024), ('C0187', 0.8861775218809331)]"
C0002,"[('C0054', 0.977575882178478), ('C0080', 0.9432798745428792), ('C0140', 0.9211817508380656)]"
C0003,"[('C0031', 0.9553409098844586), ('C0133', 0.9217070111236055), ('C0048', 0.907054241267732)]"
C0004,"[('C0129', 0.9475853277984746), ('C0013', 0.8633575943964515), ('C0187', 0.8311701359824903)]"
C0005,"[('C0084', 0.9482142237553505), ('C0134', 0.935858574454963), ('C0101', 0.9328487757965521)]"
C0006,"[('C0155', 0.9066408050616712), ('C0118', 0.8678320664321797), ('C0076', 0.8618541815205263)]"
C0007,"[('C0040', 0.956966667652435), ('C0161', 0.9483113853287009), ('C0090', 0.9314617522671867)]"
C0008,"[('C0176', 0.9419705397484126), ('C0035', 0.8718183454648583), ('C0109', 0.869103803820062)]"
C0009,"[('C0196', 0.971633558834106), ('C0182', 0.9556465573648731), ('C0053', 0.9265625620301337)]"
C0010,"[('C0070', 0.9730285490699428), ('C0063', 0.9621048139429537), ('C0089', 0.943514295792287)]"
C0011,"[('C0174', 0.9269158417828377), ('C0012', 0.9197926690873087), ('C0190', 0.8991539520242366)]"
C0012,"[('C0011', 0.9197926690873087), ('C0096', 0.9058104631931426), ('C0099', 0.8922660226135143)]"
C0013,"[('C0163', 0.9731628379803922), ('C0168', 0.8809570340624759), ('C0004', 0.8633575943964515)]"
C0014,"[('C0121', 1.0), ('C0060', 0.9555782586219209), ('C0119', 0.9203601500203863)]"
C0015,"[('C0050', 0.9547952902846274), ('C0059', 0.9436637424708201), ('C0094', 0.9432026054477503)]"
C0016,"[('C0156', 0.9707002348138305), ('C0154', 0.9424296155160062), ('C0046', 0.8958260921438576)]"
C0017,"[('C0023', 0.95863824350255), ('C0041', 0.9300552066930521), ('C0069', 0.829345051103534)]"
C0018,"[('C0050', 0.9384061539040911), ('C0015', 0.8853803460816033), ('C0094', 0.8270858064933988)]"
C0019,"[('C0014', 0.9177384598433439), ('C0121', 0.9177384598433439), ('C0111', 0.8835844761023092)]"
C0020,"[('C0055', 0.9414985925517567), ('C0116', 0.9024522352040899), ('C0029', 0.8316628318149588)]"
